Anio,Nomestado,Nomddr,Nomcader,Nommunicipio,Nomcicloproductivo,Nommodalidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
2013,Baja California,Ensenada,Ensenada,Ensenada,Primavera-Verano,Riego,Papa,26.0,26.0,0.0,470.08,18.08,4425.53,2080353.14
2013,Baja California Sur,Comondú,Comondú,Comondú,Otoño-Invierno,Riego,Papa,1200.0,1016.0,184.0,25806.4,25.4,4217.57,108840298.45
2013,Baja California Sur,Comondú,Comondú,Comondú,Primavera-Verano,Riego,Papa,1060.0,1060.0,0.0,37100.0,35.0,5839.62,216649902.0
2013,Coahuila,Frontera,Ocampo,Ocampo,Primavera-Verano,Riego,Papa,235.0,235.0,0.0,9400.0,40.0,5250.0,49350000.0
2013,Coahuila,Saltillo,Arteaga,Arteaga,Primavera-Verano,Riego,Papa,122.0,122.0,0.0,4607.94,37.77,6662.2,30699017.87
2013,Coahuila,Saltillo,Parras de La Fuente,Parras,Primavera-Verano,Riego,Papa,150.0,150.0,0.0,5133.0,34.22,6538.85,33563917.05
2013,Coahuila,Saltillo,Agua Nueva,Saltillo,Primavera-Verano,Riego,Papa,120.0,120.0,0.0,4200.6,35.01,6774.45,28456754.67
2013,Chiapas,San Cristóbal de las Casas,San Cristóbal de Las Casas,Chamula,Primavera-Verano,Temporal,Papa,380.0,380.0,0.0,6650.0,17.5,7780.0,51737000.0
2013,Chiapas,San Cristóbal de las Casas,San Cristóbal de Las Casas,Larráinzar,Primavera-Verano,Temporal,Papa,310.0,310.0,0.0,5425.0,17.5,7780.0,42206500.0
2013,Chiapas,San Cristóbal de las Casas,San Cristóbal de Las Casas,San Cristóbal de Las Casas,Otoño-Invierno,Riego,Papa,202.0,202.0,0.0,4444.0,22.0,10675.0,47439700.0
2013,Chiapas,San Cristóbal de las Casas,San Cristóbal de Las Casas,San Cristóbal de Las Casas,Primavera-Verano,Temporal,Papa,305.0,305.0,0.0,5490.0,18.0,8200.0,45018000.0
2013,Chiapas,San Cristóbal de las Casas,San Cristóbal de Las Casas,Teopisca,Primavera-Verano,Temporal,Papa,15.0,15.0,0.0,255.0,17.0,7650.0,1950750.0
2013,Chiapas,San Cristóbal de las Casas,San Cristóbal de Las Casas,Zinacantán,Primavera-Verano,Temporal,Papa,30.0,30.0,0.0,525.0,17.5,7650.0,4016250.0
2013,Chiapas,San Cristóbal de las Casas,Chenalhó,Chenalhó,Otoño-Invierno,Riego,Papa,33.0,33.0,0.0,660.0,20.0,9475.0,6253500.0
2013,Chiapas,San Cristóbal de las Casas,Chenalhó,Chenalhó,Primavera-Verano,Temporal,Papa,41.0,41.0,0.0,697.0,17.0,7490.0,5220530.0
2013,Chiapas,Motozintla,Amatenango/Motozintla,Motozintla,Primavera-Verano,Temporal,Papa,102.0,102.0,0.0,838.44,8.22,4765.0,3995166.6
2013,Chiapas,Motozintla,Porvenir,Bejucal de Ocampo,Primavera-Verano,Temporal,Papa,145.0,145.0,0.0,1186.1,8.18,4758.0,5643463.8
2013,Chiapas,Motozintla,Porvenir,La Grandeza,Primavera-Verano,Temporal,Papa,35.0,35.0,0.0,288.4,8.24,4776.0,1377398.4
2013,Chiapas,Motozintla,Porvenir,El Porvenir,Primavera-Verano,Temporal,Papa,229.0,229.0,0.0,1914.59,8.36,4867.6,9319467.06
2013,Chiapas,Motozintla,Porvenir,Siltepec,Primavera-Verano,Temporal,Papa,108.0,108.0,0.0,886.68,8.21,4760.0,4220596.8
2013,Chihuahua,Casas Grandes,Nuevo Casas Grandes,Nuevo Casas Grandes,Primavera-Verano,Riego,Papa,500.0,500.0,0.0,20000.0,40.0,5010.5,100210000.0
2013,Chihuahua,Casas Grandes,Janos,Janos,Primavera-Verano,Riego,Papa,700.0,700.0,0.0,24500.0,35.0,7142.86,175000070.0
2013,Chihuahua,Madera,Gómez Farías,Gómez Farías,Primavera-Verano,Riego,Papa,4.0,4.0,0.0,100.0,25.0,6000.0,600000.0
2013,Chihuahua,Madera,Soto Máynez,Namiquipa,Primavera-Verano,Riego,Papa,395.0,395.0,0.0,15010.0,38.0,6000.0,90060000.0
2013,Chihuahua,San Juanito,San Juanito,Batopilas,Primavera-Verano,Temporal,Papa,28.0,28.0,0.0,106.4,3.8,6934.21,737799.94
